subtype	sample	ampliconID	oncogene	amplicon_length	count	count_mbp	index	cosmic	Freq	ratio
HER2+/ER-	CURTIS_H001684_T01_01_WG01	amplicon1	CLTC|IKZF3|RARA|CDK12|SUZ12|SETDB1|ERBB2|MSI2|ARNT	13412655	9	0.671008089002513	1	TRUE	4	0.167752022250628
HER2+/ER-	CURTIS_H000394_T01_01_WG01	amplicon1	ERBB2|CDK12|IKZF3	5542614	3	0.541260856339626	1	TRUE	4	0.135315214084907
HER2+/ER-	CURTIS_H000502_T01_01_WG01	amplicon1	RARA|ERBB2|DDX5|CLTC|PPM1D|RNF43|BRIP1|CD79B|IKZF3|PRKAR1A|CDK12|SUZ12|MSI2	22286852	13	0.583303554939029	1	TRUE	4	0.145825888734757
HER2+/ER-	CURTIS_H001404_T01_01_WG01	amplicon1	ERBB2|RARA|SUZ12|CDK12|CCR7|TAF15|IKZF3	7103085	7	0.985487291789413	1	TRUE	4	0.246371822947353
HER2+/ER-	CURTIS_H001442_T01_01_WG01	amplicon1	ERBB2|KAT7|DDX5|CRTC1|CLTC|PPM1D|RNF43|BRIP1|CD79B|IKZF3|ELL|PRKAR1A|COL1A1|AXIN2|CDK12|SPOP|MSI2	28732327	17	0.591668053896226	1	TRUE	4	0.147917013474057
HER2+/ER-	CURTIS_H001462_T01_01_WG01	amplicon1	ERBB2|RARA|CDK12|CCR7|NF1|IKZF3	7938662	6	0.755794868203231	1	TRUE	4	0.188948717050808
HER2+/ER-	CURTIS_H001483_T01_01_WG01	amplicon2	ERBB2|RARA|CDK12|CCR7|IKZF3	3508768	5	1.42500159600179	1	TRUE	4	0.356250399000447
HER2+/ER-	CURTIS_H001484_T01_01_WG01	amplicon1	CCR7|IKZF3|RARA|CDK12|ERBB2|SPOP|KAT7|COL1A1	10231203	8	0.781921734912307	1	TRUE	4	0.195480433728077
HER2+/ER-	CURTIS_H001581_T01_01_WG01	amplicon2	FAT1|FBXW7	28703065	2	0.0696789698243027	1	TRUE	4	0.0174197424560757
HER2+/ER-	CURTIS_H001596_T01_01_WG01	amplicon1	TAF15|IKZF3|CDK12|ERBB2|SPOP|KAT7|COL1A1	8996477	7	0.77808235379249	1	TRUE	4	0.194520588448123
HER2+/ER-	CURTIS_H001651_T01_01_WG01	amplicon1	ERBB2|RARA|CDK12|IKZF3	3927768	4	1.01839008821295	1	TRUE	4	0.254597522053237
HER2+/ER-	CURTIS_H001656_T01_01_WG01	amplicon1	CLTC|CCR7|IKZF3|RARA|PPM1D|CDK12|ERBB2	9238398	7	0.75770712627882	1	TRUE	4	0.189426781569705
HER2+/ER-	CURTIS_H001658_T01_01_WG01	amplicon1	PDGFRA|EPHA7|FOXO3|KAT7|IKZF3|MYCN|CDK12|KDR|ERBB2|SPOP|CCDC6|KIT|FAT1|PRDM1|COL1A1	50207042	15	0.298762870754266	1	TRUE	4	0.0746907176885665
HER2+/ER-	CURTIS_H004158_T01_01_WG01	amplicon1	RARA|ERBB2|KAT7|DDX5|CLTC|PPM1D|RNF43|CCR7|BRIP1|CD79B|IKZF3|COL1A1|CDK12|SPOP|MSI2	19685786	15	0.761971099350567	1	TRUE	4	0.190492774837642
HER2+/ER-	CURTIS_H001700_T01_01_WG01	amplicon1	IKZF3|CDK12|NF1|ERBB2|SPOP|KAT7|COL1A1	8736165	7	0.801266917463212	1	TRUE	4	0.200316729365803
